species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Bay anchovy,1,3.2664161104320066,39.573062180315056,12.115131949640439,0.07424345022189743,0.13822462721380632,0.09358288770053481,0.9251830589986791,1.6936224276794003
Mojarra,1,0.09093468591536252,18.070267896685017,198.71699907232232,0,0,1,1,3.760161022882179
Pigfish,1,1.224968065064364,25.136891067282892,20.520446029719245,0,0,1,1,2.818511672197654
Pinfish,1,3.088967671170775,15.050243534897621,4.872256733329069,0,0,1,1,3.4001962924557754
Pink shrimp,1,0.9620671551556231,26.570157245507172,27.617778138584523,0,0,1,1,3.996600588700802
Rainwater killifish,1,6.323761883747828,33.513580869282535,5.29962726069952,0.08790383672073619,0.1616022184197904,0.4909831297265852,0.9039523262233677,1.556223447102376
Silver perch,1,43.98561141215366,40.615704567906384,0.9233861543341845,0.31735432320374124,0.4818055668302679,0.5366509218387646,0.49820659971305586,1.1030454839638548
Bay anchovy,2,3.2722326875573184,41.11283611593948,12.56415421564342,0.040012733326072476,0.07694662198626637,0.4781420765027322,0.9584645401082779,1.7125760256000107
Mojarra,2,0.10429927972805217,17.659492317298856,169.31557306382038,0,0,1,1,3.5498826730693684
Pigfish,2,1.1679150541574272,44.53701919092904,38.133782959976934,0,0,1,1,3.0668930787087527
Pinfish,2,1.4374446465059896,16.67749425268277,11.60218189494873,0,0,1,1,3.4167805738585075
Pink shrimp,2,0.9887593924666404,38.225707271460394,38.66027221860255,0,0,1,1,3.9809337076262836
Rainwater killifish,2,7.127091048264485,38.34491789048251,5.380163888858958,0.0736338692685523,0.13716756033175023,0.5624242424242424,0.9186686936281117,1.617399395318855
Silver perch,2,52.55751108507678,24.253885479094563,0.46147325050902627,0.2548450974858218,0.4061777792277683,0.7031910203537278,0.3568230025925053,1.2285170668843268
Bay anchovy,3,2.247610742975224,21.563814047303683,9.594105258083555,0.07109987049425853,0.13276048751915082,0.29676071055381403,0.9267008990907549,1.5129100775914295
Mojarra,3,0.12106842864132877,19.095449094906563,157.72443162269644,0,0,1,1,3.694917846521583
Pigfish,3,1.1533220400450417,32.03778727643217,27.77870027974231,0,0,1,1,2.773788796889363
Pinfish,3,1.7222292386924418,21.009565203588387,12.199052676366914,0,0,1,1,3.3190774935067378
Pink shrimp,3,0.6862639218238282,36.07995325639547,52.574457302824094,0,0,1,1,3.9166502790710696
Rainwater killifish,3,7.4215753834723,30.099096469928206,4.055620931501726,0.08313971308990699,0.15351613847253684,0.6119402985074626,0.9043155886492465,1.4888445882476882
Silver perch,3,36.529337073050556,22.895797303441267,0.6267783414096665,0.2397532088291469,0.3867757020053623,0.6854008324970786,0.4980694980694981,1.293880276719258
Bay anchovy,4,2.9352104188702244,41.09348198012934,14.000182649919322,0.05012900463202179,0.09547208849752248,0.2839506172839506,0.9488542827889338,1.8510238449974101
Mojarra,4,0.06913098920167678,20.758601228786148,300.2792447859642,0,0,1,1,3.523791368579334
Pigfish,4,0.8051931824869543,36.66568441992502,45.53650629117079,0,0,1,1,2.9055835580027045
Pinfish,4,1.3430908130475223,20.47007326212683,15.241019492702423,0,0,1,1,3.4486469466255216
Pink shrimp,4,0.7630564863966651,27.673308870390212,36.26639621539708,0,0,1,1,3.89085850623648
Rainwater killifish,4,5.992136274804664,34.37942214634601,5.73742327772189,0.04422768042192866,0.084708883419099,0.7146401985111663,0.9502634218052431,1.8605148786868595
Silver perch,4,24.83068938912659,28.892050653019485,1.1635621629446733,0.25219022436987826,0.40279858357269055,0.5642601126472094,0.6255121546320773,1.3390395966771886
Bay anchovy,5,3.403715375002529,23.678174442225302,6.956567113725749,0.027538676558083112,0.05360124574644456,0.7867590454195534,0.9693468127174812,1.9633312602388282
Mojarra,5,0.12564596751705714,19.727102261383582,157.00545470116674,0,0,1,1,3.6163403902577844
Pigfish,5,0.9261605211217535,45.89952562772378,49.558931287775984,0,0,1,1,2.9860871752187
Pinfish,5,1.7964357203904915,24.93979521469426,13.882932148150056,0,0,1,1,3.3593782577381526
Pink shrimp,5,0.9873943426122637,24.090139126583075,24.397688022852027,0,0,1,1,4.030814404374528
Rainwater killifish,5,6.513119473154253,36.52661399381962,5.608159675924088,0.09426192847548616,0.17228403186211705,0.4307598039215686,0.8984978622270353,1.5158750191993438
Silver perch,5,49.81623409542443,31.443643940631112,0.6311927128092403,0.26573991452171847,0.41989655453369,0.6575339000554685,0.4574302063464539,1.3184868937990935
Bay anchovy,6,3.401339409333151,43.88456505355302,12.902142295219164,0.06308717771631263,0.11868674373786416,0.1750000000000001,0.9360571305816631,1.7362003470641998
Mojarra,6,0.11480906268831238,16.679496966681278,145.28031651964056,0,0,1,1,3.80954771882986
Pigfish,6,1.0752997107346094,43.31590026262588,40.282629884680134,0,0,1,1,2.819504147210994
Pinfish,6,2.1735437122432826,15.305522563638597,7.0417367166000044,0,0,1,1,3.2937559132600778
Pink shrimp,6,0.589680645314706,40.75349889936579,69.11113536313559,0,0,1,1,3.9774222061598543
Rainwater killifish,6,6.226525998976271,24.7804463345809,3.9798189774932533,0.045082480795826746,0.08627545026206274,0.7851819377466023,0.946023157468156,1.8236536028696468
Silver perch,6,34.38398977885994,23.18472871832036,0.6742884949487409,0.23703401900237658,0.3832295884530904,0.679181554564525,0.5242118947026324,1.345380670890558
Bay anchovy,7,4.918500941989875,37.11329340020508,7.545651375882461,0.0971678748874809,0.17712489968309703,0.24317617866004956,0.8997006641787184,1.7032516430012437
Mojarra,7,0.09977318183777999,17.16052261898833,171.99534286567524,0,0,1,1,3.6824235713808107
Pigfish,7,0.627593232187065,40.270961955873325,64.16729800532627,0,0,1,1,2.7705328106289917
Pinfish,7,1.317996523108484,23.680218861273534,17.9668295371705,0,0,1,1,3.417711673068381
Pink shrimp,7,0.6099609332308967,35.681610994434415,58.49819070449775,0,0,1,1,3.948101310690108
Rainwater killifish,7,8.286836949866416,27.778634623548694,3.3521396392379224,0.14329860751862852,0.2506757317401765,0.454512105649303,0.8372717269992045,1.5116292345300557
Silver perch,7,30.073771578141603,41.571986916380474,1.3823336660106866,0.1989968647443178,0.3319389242719217,0.6046053628238146,0.71396584855141,1.4955677997644006
Bay anchovy,8,2.904030299319346,30.14421816478399,10.380132112206015,0.08335202654797084,0.15387800918888114,0.12442396313364057,0.9156488542340643,1.5880191969715123
